names	celltype
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_360	Neural_tube_2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_360	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_360	Somite_wavefront
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_360	NeuralTube_Somites
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_302	PGCs
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_302	0
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_302	0
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_302	Mesoderm_heart
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_302	3
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_302	Haemogenic
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_302	12
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_302	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_302	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_302	Mesoderm_heart
PZ-MB-gastd6-TChIC-rep1-H3K27me3-4_302	3
PZ-MB-gastd7-TChIC-rep1-H3K27me3-1_302	NeuralTube1
PZ-MB-gastd7-TChIC-rep1-H3K27me3-2_302	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K27me3-3_302	3
PZ-MB-gastd5-TChIC-rep1-H3K4me3-2_302	Tailbud
PZ-MB-gastd6-TChIC-rep1-H3K4me3-1_302	2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-2_302	Somite_wavefront
PZ-MB-gastd6-TChIC-rep1-H3K4me3-3_302	Neural_tube_2
PZ-MB-gastd6-TChIC-rep1-H3K4me3-4_302	2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-1_302	2
PZ-MB-gastd7-TChIC-rep1-H3K4me3-2_302	NeuralTube_Somites
PZ-MB-gastd7-TChIC-rep1-H3K4me3-3_302	3
PZ-MB-gastd5-TCHIC-rep1-H3K27ac-1_46	0
PZ-MB-gastd5-TCHIC-rep1-H3K4me1-1_46	Tailbud
PZ-MB-gastd5-TCHIC-rep1-H3K4me3-4_46	Endoderm
PZ-MB-gastd5-TCHIC-rep1-H3K27me3-1_46	0
PZ-MB-gastd6-TCHIC-rep1-H3K27me3-1_46	12
PZ-MB-gastd7-TCHIC-rep1-H3K27me3-4_46	Haemogenic
PZ-MB-gastd5-TChIC-rep1-H3K27me3-2_46	Endoderm_node
PZ-MB-gastd5-TChIC-rep1-H3K27me3-3_46	0
PZ-MB-gastd5-TChIC-rep1-H3K27me3-4_46	0
PZ-MB-gastd6-TChIC-rep1-H3K27me3-2_46	2
PZ-MB-gastd6-TChIC-rep1-H3K27me3-3_46	3
