	NeuralTube_Somites_n	NeuralTube_Somites_p	NeuralTube_Somites_s
2287	Map11	0.12210901319595849	2.2535515
25691	Tbp	0.12211823771384994	-2.253456
25690	Pex2	0.12233977986236659	-2.2526922
2288	Gnal	0.12245530166244331	2.2522628
2289	Mxd4	0.12266215052721116	2.2515466
25689	Patl1	0.12300645543303049	-2.250401
2290	5930412G12Rik	0.12307673778319737	2.2501147
25688	Rexo4	0.12311653468991408	-2.2499237
25687	Nfkbib	0.12329377185849097	-2.249303
2291	Gstm7	0.12347122508428825	2.2486827
25686	Wls	0.1236029583217946	-2.2482052
25685	Car3	0.12393415377129904	-2.2471073
25684	Spata5	0.12416783256047173	-2.246296
25683	Cnih4	0.12416783256047173	-2.2462482
25682	Aldoc	0.12430019388511612	-2.2457707
25681	Ypel1	0.1247100849800217	-2.2444344
25680	Gm14567	0.1247194639717229	-2.2443388
2292	Mtus2	0.12494499840584168	2.243575
2293	Akna	0.1251863544152034	2.2427635
25679	Selenos	0.12541260492208609	-2.2419999
2294	Actr5	0.12552448910620856	2.2415223
25678	Srek1ip1	0.12552448910620856	-2.2415702
2295	Mcl1	0.1255959826290347	2.241236
2296	Rab3gap1	0.12627429763904985	2.239088
2297	Ern1	0.1263461465070783	2.2388015
2298	Adamts6	0.1268712983944891	2.2371309
25677	Shc1	0.12703742949265714	-2.236558
25676	Lipt2	0.12706261200509084	-2.236415
2299	Wbp1l	0.12730743135307526	2.2356033
25675	Naa25	0.12739548042858823	-2.2352693
2300	Zfp146	0.1276880529485399	2.2343144
25674	Socs3	0.1278235765393558	-2.2338371
25673	Bud13	0.1280223056970776	-2.2331688
2301	Ctnnd1	0.12839514570574337	2.2319756
2302	Zfyve16	0.12842054814918447	2.2318323
25672	Phactr4	0.12862006196108516	-2.231164
2303	Rgl2	0.1287722717368289	2.230639
2304	Arrdc2	0.12898812177487418	2.229923
2305	Rgs7	0.1298575229379071	2.2272499
25671	Cenpi	0.13041108753655747	-2.2255313
25670	Hypk	0.1304207761982559	-2.225436
2306	Rnf130	0.1306389676722755	2.2247198
2307	Hectd2	0.1307289438703771	2.2243857
25669	Nipa2	0.1308189727645037	-2.2240515
25668	Rmi1	0.13090905437710793	-2.2237175
25667	Dis3l2	0.13096701967976118	-2.2234788
25666	Chtf18	0.13105718840423367	-2.2231445
25665	Eid1	0.13134074751432792	-2.2222376
2308	Csdc2	0.13165713315630181	2.2212353
25664	Vps37b	0.13171537508404058	-2.2209966
2309	B4galt3	0.1320649147229905	2.2198987
25663	Ackr3	0.13207470511501732	-2.219803
25662	Bicc1	0.13253873583267128	-2.2183712
25661	Gpatch3	0.13254855175946845	-2.2182758
2310	Hectd1	0.1330075391889123	2.2168436
25660	Washc3	0.1330075391889123	-2.216796
25659	Tlnrd1	0.13313149752893105	-2.2163663
2311	Zfp41	0.13372958227735998	2.2145524
2312	Tcta	0.1337394621893119	2.2144568
2313	Reep2	0.13389676580360974	2.2139318
2314	Ttll5	0.1340149212766725	2.2135022
2315	Chm	0.1340149212766725	2.2134545
2316	Sec63	0.13418891391192456	2.2128816
2317	Saraf	0.13462628772043542	2.211545
25658	Commd4	0.13466915423832315	-2.2113543
2318	Zwint	0.13471203392617237	2.2111633
25657	Stk16	0.1352665114332469	-2.2094924
25656	Pwwp2a	0.1353922372578448	-2.2090628
2319	Trpc4ap	0.13576659011252049	2.2079172
2320	Slc39a11	0.13592589880356548	2.2073922
25655	1700017B05Rik	0.13598570927305606	-2.2071536
25654	Pccb	0.1359957212151057	-2.207058
25653	Gkap1	0.13608219381295103	-2.2066762
2321	Mink1	0.13608219381295103	2.206724
25652	Zrsr2	0.1361753093415538	-2.206342
25651	Gramd3	0.13628511160489823	-2.20596
25650	Ngrn	0.13681165565699535	-2.2043848
25649	Ppil4	0.13697199456795114	-2.2038598
25648	Ggnbp2	0.13743376514111788	-2.2024755
2322	Sp3	0.13752765229859304	2.2021413
25647	Tctn2	0.1383444313456271	-2.1997547
25646	Rpia	0.13860750111377412	-2.1989431
25645	Glo1	0.13861765290563607	-2.1988478
2323	Ankrd6	0.13866156532514384	2.1986568
2326	Slain2	0.1386920573709912	2.1983702
2325	Mcoln1	0.1386920573709912	2.1984181
2324	Angpt2	0.1386920573709912	2.1984658
25643	Ralgps2	0.13874617432870123	-2.1980839
25644	Dhx40	0.13874617432870123	-2.1981316
2327	Psd	0.13894222767622766	2.1974633
25642	Scyl1	0.13895241855949308	-2.197368
2328	Nt5c	0.13921644295569208	2.1965563
25641	Dmac2	0.13948089069800323	-2.195745
25640	Rhod	0.13951830312705732	-2.195554
2329	Erbb4	0.13951830312705732	2.1955063
25639	Abt1	0.1396303636149467	-2.1951244
2331	Rhob	0.14051905999079595	2.192499
2330	Elmo2	0.14051905999079595	2.1925466
25638	Coq7	0.14078559090336829	-2.1916876
25637	Vasp	0.14088139395327937	-2.1913533
25636	Zfp688	0.14128563201418798	-2.19016
25635	Zdhhc5	0.14181122924192902	-2.1886325
25634	Pura	0.1418731911823904	-2.1883938
2332	Tecpr2	0.14187668332976283	2.1882982
2333	Scamp1	0.14187668332976283	2.1882505
2334	Ppm1b	0.1419386745281962	2.188012
2336	Sipa1l3	0.1419938362642942	2.1877255
2335	Ptprm	0.1419938362642942	2.1877732
2337	Kras	0.14297136077633038	2.1849568
2338	Zfp46	0.1432244547333057	2.1841931
2339	Mras	0.1432695787617061	2.1840022
25633	Usp40	0.1435578735704564	-2.183143
2340	Irf2bpl	0.14450957564611994	2.1804698
25632	Ap1g2	0.14483500297823054	-2.1795151
25631	Zdhhc15	0.14496814549993328	-2.1790855
25630	Mvk	0.14497865472446791	-2.1789901
2341	Mast3	0.14498916768243528	2.1788945
25629	Copg1	0.145069813644134	-2.1786082
2342	Fam171a1	0.14507332724826477	2.1785128
2343	6330403K07Rik	0.14507332724826477	2.178465
2344	St3gal3	0.1451891070927271	2.1780832
25628	Ints9	0.14562131794430327	-2.176842
25627	Clcc1	0.1464253830195678	-2.1745985
2345	N4bp2l2	0.14671901666834186	2.1737392
2346	Hdac4	0.14694222138738675	2.173071
2347	Nr2c2	0.14702376770622766	2.1727846
25626	Vps26a	0.14751394238436594	-2.1714003
2348	Rhbdd1	0.14766694198862987	2.170923
25625	Tpm2	0.14782007434528283	-2.1704457
2349	Tmem181b-ps	0.14786637903247352	2.1702547
2350	Ric8b	0.1482981329176078	2.1689658
25624	Sap30bp	0.1482981329176078	-2.1690135
25623	Phkb	0.1484160551739005	-2.1685839
25622	Srbd1	0.1484267574436722	-2.1684885
25621	Psme2	0.1485447662027638	-2.1681066
2351	Rnf114	0.1485912639006773	2.1679156
2352	B3galt2	0.14933721187433427	2.165863
2353	Ppp1r14a	0.1494198622783561	2.1655767
2354	Tmem229b	0.15000690843340356	2.1639538
2355	Dmtn	0.15008986455832693	2.1636672
2356	Med14	0.15011870292775148	2.1635242
2357	Rmst	0.15032816203988222	2.1629035
25620	Mmab	0.15044742958346663	-2.1625216
25619	Nsd2	0.15060296904679227	-2.1620443
2358	Edem2	0.15093987468380965	2.1610897
25618	S1pr2	0.15102326163300103	-2.160803
25617	Rcan1	0.15134278144268723	-2.1598961
25616	Rnf181	0.15146271981639642	-2.1595144
2359	9230112E08Rik	0.1516373374712672	2.1589892
25615	Gtf2i	0.1520126601432373	-2.1579392
2360	Wdfy1	0.15203445755595005	2.157796
2361	Dysf	0.15203445755595005	2.1577482
25613	Gcnt4	0.15206718252381723	-2.1574616
2362	Psen1	0.15206718252381723	2.1574616
25614	Plekha8	0.15206718252381723	-2.1575096
2363	Carm1	0.15240681461951716	2.156507
25612	Hmcn1	0.15243602745655327	-2.156364
25610	Agtr1a	0.1525493428786391	-2.1559343
25611	Epn1	0.1525493428786391	-2.1559343
25609	Cbll1	0.15289347472610113	-2.1549318
25608	Tmem126a	0.15289347472610113	-2.1548364
2364	Axin2	0.15289347472610113	2.1548364
25607	Snapc5	0.15306946611910463	-2.1543112
25606	Tram2	0.15320890693632844	-2.1538815
2365	Nek1	0.1533594525616067	2.1533566
25605	Wdr6	0.1533594525616067	-2.1534042
2366	Thada	0.153407205471185	2.1531656
2367	Ppp1cb	0.1534182133509752	2.1530702
2368	Tbc1d14	0.15350275385870643	2.1527839
2369	Hmbox1	0.1535321598431929	2.1526406
25604	Coq4	0.15372716975696835	-2.1520677
25603	Bphl	0.15383027136338098	-2.1517336
2370	Lsm14b	0.15409936386951362	2.1509697
2371	Gm26735	0.15431344127546723	2.1503494
2372	Gak	0.1552502665969258	2.1478672
25602	Abraxas1	0.15531707018076546	-2.1476285
25600	Atp13a1	0.1559158964996274	-2.1459577
25601	Sar1b	0.1559158964996274	-2.1459577
25599	Cryz	0.156449433042019	-2.1445258
25598	Thumpd3	0.1571344779327675	-2.1427119
25597	4930579G24Rik	0.15795387272193973	-2.1405637
25596	Tjp1	0.15804046421190723	-2.1402774
25595	1110008L16Rik	0.15827798588935085	-2.139609
25594	Cnot8	0.15906450793578322	-2.1375563
25593	Rassf1	0.15913264292607476	-2.1373177
25592	Nup214	0.15921976619837114	-2.1370313
25591	Polr3b	0.15951574065073337	-2.1362197
25590	Ndufs3	0.15973609842685968	-2.1355994
25589	Rpusd1	0.15989960634341138	-2.135122
2373	Ankrd11	0.16061645879686628	2.1332603
25588	Ice2	0.1607615969631159	-2.1328306
2374	Kifc2	0.16113657901185868	2.1318283
25586	Dse	0.16158128754720025	-2.130587
25587	Gm10801	0.16158128754720025	-2.1306348
25585	Hus1	0.1616118952341138	-2.130444
25584	Prr5l	0.16193081820040353	-2.1295848
25583	Hmgn3	0.162038447382975	-2.1292505
25582	Pus7l	0.16206912752783836	-2.1291075
2375	Hoxd8	0.16215757675966108	2.128821
2376	Cnot4	0.1622846015577803	2.1284392
25581	Lrr1	0.16266253736260208	-2.1274366
25580	Emc2	0.16286718434450909	-2.126864
25579	Ccdc112	0.1633624843921837	-2.125575
2377	Insl6	0.16350968110578876	2.1251454
25578	Nthl1	0.16420113566937822	-2.1233792
25577	AI837181	0.16491459191824753	-2.1215653
2378	Crim1	0.16496523279766542	2.1213744
25576	Nectin2	0.1650940745394627	-2.1209924
2379	Galnt11	0.16516431972059972	2.1207538
25575	Itfg2	0.16520706105631391	-2.1205628
25574	L2hgdh	0.16520706105631391	-2.120515
2380	Hykk	0.16523822094594107	2.120372
2381	Ptp4a3	0.1653868191114482	2.1199424
25573	Rap2b	0.16608489086796335	-2.1181762
25572	Zfp703	0.16613583205704224	-2.1179852
25571	Grhpr	0.1664621842055086	-2.117126
2382	Atg4d	0.166473845021901	2.1170306
25570	Mpped1	0.16753169111473884	-2.1144052
25569	Ppard	0.167741425538999	-2.1138322
2383	Scn9a	0.16776486422991593	2.1136413
25568	Suz12	0.16776486422991593	-2.1136413
2384	Micall2	0.16797483894525123	2.1130686
25567	Ddx54	0.16922023587575283	-2.1100135
2385	Gm26644	0.16931187892197563	2.1097271
25566	Abhd5	0.1696234376880539	-2.1089156
25565	Ninj1	0.17001561284532626	-2.1079133
2387	Gm43268	0.17001922470820816	2.10777
2386	Zfp9	0.17001922470820816	2.1078176
25564	Mpdu1	0.1701513239641699	-2.1073883
2388	Twf1	0.1703236396066908	2.1069107
2389	Prr14	0.17045593490686134	2.106529
2390	Tob1	0.1706486043394929	2.1060038
25563	Dgkk	0.17134504182137608	-2.1042855
25562	Fam117a	0.17145781068365326	-2.1039512
25560	Scube3	0.17168353401996445	-2.103283
25561	Src	0.17168353401996445	-2.1033306
25559	1500009L16Rik	0.1717477857090851	-2.1030443
2391	Mybl1	0.1717477857090851	2.1029966
25558	Gm10275	0.17206305523111132	-2.102185
2392	Epb41l1	0.17245158388800239	2.1011827
2393	Far1	0.17245158388800239	2.101135
2394	Rab11fip5	0.1724755170607901	2.1009917
2395	Rtl5	0.1724755170607901	2.100944
2396	Sharpin	0.1728121991866352	2.1000848
2397	Dpf1	0.17296641662907686	2.0996552
25557	Tmem161a	0.17299874136696008	-2.0995119
25556	Car2	0.1730107436843162	-2.0994165
2398	Eps15	0.1732668537248349	2.0987482
25555	Klf16	0.17462674516956564	-2.0955021
25554	Mmgt2	0.17463881521345825	-2.0954068
25553	Rsrc2	0.1746508894587494	-2.0953112
2399	Fam49a	0.17556659985437045	2.0931156
25552	Dok1	0.17599078489320827	-2.0920653
25551	Simc1	0.1771818844943742	-2.089249
25550	Gemin8	0.17733931435302658	-2.0888193
25549	Shisa4	0.17741378473495814	-2.0885806
25548	Unc5b	0.1776337337154208	-2.088008
25547	Mfsd5	0.17804125942612511	-2.0870054
25546	Atmin	0.17840783681386105	-2.0860984
2400	Sstr2	0.1784826721721162	2.0858598
2401	Kcnh8	0.17889181706902793	2.0848575
25545	Xpnpep3	0.1792302392001719	-2.0839505
2402	Mynn	0.1792302392001719	2.0839505
2403	Zfp652	0.17936821327561311	2.0835686
25544	Cops7b	0.17977904002709283	-2.082566
25543	Mtrr	0.18040111463141123	-2.0810864
2404	Zfyve26	0.1806241258950532	2.0805135
2405	Cbln1	0.18065754922898555	2.0803704
25542	Vamp8	0.18069098037036466	-2.0802271
25541	Flywch1	0.18072441931964112	-2.0800838
25540	Pla2g16	0.18173020639568344	-2.077745
2406	Rap1gap2	0.18233665720320158	2.076313
2407	Cpeb3	0.18249785363694065	2.0758834
2408	Cdk16	0.18289333792139464	2.0749285
25539	Arhgap19	0.1831828693221174	-2.0742126
2409	Apbb3	0.18343007229150426	2.073592
25538	Palb2	0.18419118142706611	-2.0718257
25537	Ube2e3	0.1845038736951961	-2.071062
25536	Plekhf1	0.18492446991383613	-2.0700598
2411	Mthfd2l	0.18501404862225151	2.0697255
2410	Creb3	0.18501404862225151	2.0697255
25535	Nudcd1	0.18550025247098692	-2.06858
25534	Foxc2	0.1856206134763342	-2.0682456
25533	Cep135	0.1865408140129995	-2.0661454
25532	Zfp1	0.18677008392350547	-2.0655725
2412	Pcm1	0.18680438016244513	2.0654294
25531	Pdss1	0.1869905161462683	-2.0649521
25529	Cox18	0.1870157856278553	-2.0647612
25530	Gpank1	0.1870157856278553	-2.0647612
2413	Cdc37l1	0.1873107059916438	2.0640452
25528	Pms1	0.1876930530413013	-2.0631382
25527	Eef1e1	0.18787081633306152	-2.0626607
25526	Lyrm4	0.18787081633306152	-2.062613
25525	B4galt2	0.1880142317597213	-2.0622313
25524	Fam114a2	0.18806142115585003	-2.0620403
2414	Fam171a2	0.18806142115585003	2.0619924
25523	Faim	0.18835769399513297	-2.0612764
2415	Yipf4	0.18887301651756988	2.0600832
2416	Stx5a	0.1893895141704357	2.0588899
2417	Tbc1d13	0.190083079514112	2.0573146
25522	Trabd	0.19035996811544909	-2.0566463
2418	Proser1	0.1906371894985285	2.055978
2419	Dok4	0.19087059836346176	2.0554051
25521	Hdac3	0.19176800819404904	-2.0534003
25520	Fundc1	0.19251328700537032	-2.0517297
2420	Ap4e1	0.19310491912404026	2.050393
25519	2410003L11Rik	0.19336313198669014	-2.0497725
25518	Ankrd13c	0.19337605022712348	-2.049677
25517	Washc5	0.19360636739467282	-2.0490086
25516	Slc39a1	0.19360636739467282	-2.048961
25515	Prxl2a	0.19360636739467282	-2.0489132
2421	Lpcat2	0.19360636739467282	2.0491042
25514	Gm7993	0.19361931378064687	-2.0488179
2422	Vps50	0.19401227647410768	2.0479107
25513	Bad	0.1942714784702732	-2.0472903
25512	Rrp36	0.1944188838506235	-2.0469084
2423	Arfgap1	0.19494791751007576	2.045715
2424	Chuk	0.1956583242254969	2.0441399
25511	Tox2	0.19589678451766826	-2.043567
2425	Lmbr1	0.19631616325756857	2.0426123
2426	Nipsnap1	0.19732552016415578	2.0404165
25510	Secisbp2	0.1976145997073933	-2.0397005
2427	Stard3nl	0.1976145997073933	2.039605
2428	Apaf1	0.1976145997073933	2.039605
25509	Trib1	0.19769588778537586	-2.0393662
2429	Pip5k1c	0.19846018232709386	2.0376956
25508	Zbtb45	0.198792754528584	-2.0369318
2430	Klhl11	0.1989429554200334	2.03655
25507	Myo5b	0.20007824266690652	-2.0341156
2431	Dusp11	0.20015060224638656	2.033877
2432	Slx4ip	0.20015060224638656	2.033829
2433	Rpgrip1l	0.20057749617050713	2.0328743
2434	Nrp1	0.20130488256670664	2.031299
2435	Mxra7	0.20143354470401822	2.030965
25506	Mkrn2	0.20149299896902106	-2.030774
2436	Dpy19l4	0.20176040326209	2.0301535
25505	Foxc1	0.20195869134344968	-2.0296762
2437	Mmp15	0.20234241928611058	2.028817
25504	Fancg	0.20263394422405673	-2.0281487
25503	Gnb4	0.20322792064478806	-2.0268598
2438	Mpp7	0.2034041176645243	2.0264301
2439	Pou4f2	0.2037201991054019	2.0257142
2440	Ncor2	0.20385011623069735	2.0253801
2441	Fgf11	0.20458728730535644	2.023805
2442	Dcaf6	0.2047644462248321	2.0233753
25502	Ptar1	0.20482468018342875	-2.0231843
25501	Alg5	0.20490834143273018	-2.0229456
25500	Gga1	0.2050857275438961	-2.022516
25499	Gigyf1	0.20521983830503318	-2.0220387
25498	Gm11627	0.20521983830503318	-2.0220387
2443	Gpr161	0.20521983830503318	2.0220864
2444	Gpatch2l	0.2057260528378323	2.0209408
25497	B3gnt7	0.20597454030250048	-2.0203679
2445	Sema7a	0.2068123483320904	2.0186017
2446	Sned1	0.20688660269748504	2.0183153
25496	Neil3	0.20688660269748504	-2.018363
2447	Gm25099	0.20734891706120956	2.017313
2448	Mxd1	0.20793053976816023	2.0160718
2449	Mapk1	0.20808634554789276	2.0156898
25495	Frg1	0.20809993487706868	-2.0155945
25494	Tbkbp1	0.20825584493863392	-2.0152125
2450	Gopc	0.20864937045026719	2.0143533
2451	Fam217b	0.2089007451373605	2.0137806
25493	Tpd52l1	0.20931909746763272	-2.0128736
2452	B3galt1	0.20940423727210766	2.012635
2453	Msra	0.20989504754226482	2.0115848
25491	Ptgr1	0.20998385193769942	-2.0112028
25492	Fancb	0.20998385193769942	-2.0112028
2454	Nup88	0.20998385193769942	2.0112028
25490	Oscp1	0.21071521751323022	-2.0096753
25489	Camkmt	0.21077685244733488	-2.0094845
25488	Plekhg2	0.21112628108221054	-2.0087206
2455	Zfp606	0.21142813355947176	2.0080523
25487	Fam32a	0.2119468997813524	-2.0069544
25486	Tapt1	0.21204667430560342	-2.006668
2456	Bivm	0.21204667430560342	2.0066204
25485	Hspd1-ps3	0.21234960091176658	-2.0059521
2457	Actr10	0.21236339442082838	2.0058565
25484	Top3b	0.212473654340175	-2.0055702
2458	Mprip	0.21280122499825663	2.0048542
25482	Rab36	0.21299799143193165	-2.0043292
25483	Rabep2	0.21299799143193165	-2.0043292
25481	Ift22	0.21325363224696936	-2.0037563
2459	Zfp873	0.213412677659152	2.0033743
2460	Tctn1	0.21488315681043216	2.0004148
25480	Slc41a1	0.21536008013728533	-1.9994124
2461	Ext2	0.21539839443572478	1.9992692
2462	Pias2	0.2156808106286329	1.9986486
2463	Sh3bp4	0.21571917239353	1.9985055
2464	Son	0.21671197164353276	1.9965006
2465	Rap1gds1	0.21700978714449448	1.9958323
25479	Noc3l	0.21700978714449448	-1.9957846
25478	Ubtd2	0.21717109955937103	-1.9954027
25477	Bcl7b	0.2172833648432918	-1.9951164
2466	Siae	0.21756779582282748	1.9944957
25476	Tex15	0.2179756744635089	-1.9936365
25475	Tfip11	0.21848289103004173	-1.9925864
2467	Cnnm2	0.2186203947163652	1.9922522
25474	Urod	0.21878267737385776	-1.9918704
2468	B930036N10Rik	0.2189697834434931	1.9914408
2469	Sema3f	0.22104435507461878	1.9873832
25473	Rbl1	0.22113328713599803	-1.9871446
25472	Tmem246	0.22124718942139235	-1.9868582
25471	Nfe2l2	0.22166072462487899	-1.985999
2470	Phrf1	0.22199984955450552	1.985283
25470	Ptges2	0.22221421481637146	-1.9848056
2471	Ctsa	0.2222284204282758	1.9847102
2472	Trim24	0.22229270001575654	1.9845192
25469	Emc3	0.22230691683872925	-1.9844238
2473	AC156546.1	0.22239626419198913	1.9841851
2474	Mthfsd	0.2225357532876938	1.983851
2475	Cmtr1	0.22305163943712109	1.9828007
25468	Apln	0.223141227032101	-1.9825621
2476	Ankfy1	0.22318060617044314	1.9824189
25467	Trmt11	0.22339589365396864	-1.9819416
25466	Hacd2	0.2235358905115147	-1.9816074
2477	Hnrnpk	0.2236507979605437	1.981321
25465	H2-Bl	0.22376575404606242	-1.9810346
25464	Brf2	0.22456149034801737	-1.9794594
25463	Abcg2	0.22510649519016146	-1.9783615
2478	Rundc3b	0.22513519984582758	1.9781705
25462	Smg9	0.22513519984582758	-1.9782182
25461	Gulp1	0.22545330054711876	-1.9775022
2479	Atm	0.22600006373769913	1.9764043
2480	Brd1	0.22606521689717862	1.9762133
25460	Spdl1	0.2267403900002557	-1.9748769
2481	Slc10a4	0.2272642174738352	1.9738266
25459	Zdhhc4	0.2275592489863665	-1.9732062
2482	Stk10	0.22790569373171263	1.9724901
2483	Uso1	0.2279712750949796	1.9722991
25458	Tfb1m	0.2281391507039067	-1.9719173
2484	Nphp4	0.22866561089769383	1.9708672
25457	Cluap1	0.22957841788460143	-1.969101
2485	Acox3	0.22960748820815083	1.96891
25456	Gmds	0.22960748820815083	-1.9689578
2486	Tdrkh	0.2296734560715143	1.968719
2487	Map3k1	0.2303832110849526	1.9673347
2488	Parm1	0.2305413046416244	1.9669051
25455	Tmem101	0.2305413046416244	-1.9669051
2489	Yod1	0.2308139648290575	1.9663323
25454	Bod1	0.23130833571512163	-1.9652822
25453	Cmtm8	0.23130833571512163	-1.9652822
2490	Ascl1	0.23137469233457467	1.9650912
25452	Pstk	0.23154458848866316	-1.9647094
25451	Surf1	0.23174048734002628	-1.9642798
25450	Taf6l	0.23284523637256982	-1.9621794
25449	Pgghg	0.2328859256658644	-1.9620363
2491	Cdkn1a	0.23326498823717157	1.9612725
25448	Ccdc85b	0.23364455340432402	-1.9605087
25447	Mcfd2	0.23407685373140533	-1.9596494
25445	Ccm2	0.23426308862747858	-1.9591721
25446	Fbxo7	0.23426308862747858	-1.9591721
2492	Tmem35a	0.2346178012274668	1.9584562
25444	Sdhaf4	0.23531375193137813	-1.9571196
2493	Scaper	0.235564725264333	1.9565945
25443	Cdr2	0.2356320363245209	-1.9564035
2494	Fam107b	0.2357256316856133	1.9561648
25442	Gm10110	0.23576671150205797	-1.9560217
2495	Gpr173	0.23578152732041163	1.9559262
25441	Mtfp1	0.23648026018973411	-1.9545896
25440	Fbxo10	0.2369168099673083	-1.9537303
2496	Foxp2	0.23701081246720745	1.9534917
25439	Lin54	0.23731606463202004	-1.9528712
25438	Bloc1s6	0.23854854278098073	-1.9505799
25436	Ivd	0.23860491242491716	-1.9503412
25437	Rell1	0.23860491242491716	-1.9503889
25434	Dzip1l	0.23887365882599043	-1.9497206
25435	Dus3l	0.23887365882599043	-1.9497206
2497	Zfp994	0.2389417179575379	1.9495298
2498	Tmem186	0.2391160748760905	1.9491478
25433	Ndufaf1	0.23971629874923536	-1.9480022
25432	Elf2	0.24039782409533408	-1.9467134
2499	Gphn	0.24086697529435447	1.9458064
2500	Slc4a1ap	0.2410424591956858	1.9454246
2501	Ktn1	0.24155447534150684	1.9443744
25431	Zbtb8os	0.24155447534150684	-1.9444221
2502	Agap2	0.24183763382158285	1.9438016
2503	Isl1	0.24260473764640297	1.9423696
2504	Mxra8	0.24288889354322024	1.9417968
25430	Rp9	0.24314637461417118	-1.9412717
2505	Csrnp2	0.24370084586200158	1.9402215
25429	Ears2	0.24379697071950665	-1.9399828
2506	Tmeff2	0.2438661194310711	1.9397919
25428	Polr3c	0.24447603557790806	-1.9386462
25427	Smarcd3	0.2444912028573015	-1.9385508
2507	Ptpn5	0.24553661310958022	1.9366413
2508	Gpr19	0.24555181720313254	1.936546
25426	Armh3	0.24611074032144145	-1.9354957
25425	Plod3	0.24680704263657488	-1.934207
25423	Ppic	0.247083134009213	-1.9335864
25424	Cdkn2aip	0.247083134009213	-1.9336342
25422	Ndufs1	0.24734419621995382	-1.9330612
25421	9330020H09Rik	0.24749611956104622	-1.9327271
2509	Chp1	0.24783961912805566	1.9320588
2510	Necap1	0.2479370322714025	1.9318202
2511	Rab18	0.24830843033094263	1.9311042
25420	Hook2	0.24909218512108813	-1.9296721
2512	Pnpla6	0.24923282888851894	1.9292903
25419	Kbtbd8	0.24923282888851894	-1.9292903
2513	Fbxl18	0.24935817640539074	1.9290038
2514	Nckap5l	0.24942855516204127	1.9288129
2515	Rnf146	0.24952646659400537	1.9285742
25418	Naxd	0.24988762599163447	-1.9278582
2516	Phka2	0.24988762599163447	1.9278104
2517	Dnajb9	0.25015106482764404	1.9272854
2518	Pex19	0.25044232276256995	1.9267126
25417	Fat1	0.2505129488540264	-1.9265217
25416	Cpt2	0.25083217439243055	-1.925901
25415	Eci1	0.2511240688758181	-1.9253283
25414	Slc35f1	0.25166549385848974	-1.9243258
25413	Uhrf2	0.2518749833745209	-1.9238962
2519	Ttc37	0.2525010551681157	1.9227506
25412	Nucb1	0.2525721316514947	-1.9225597
25411	B230323A14Rik	0.2527266184800254	-1.9222256
25410	Frmd8	0.2537446621013493	-1.9204116
2520	Rem2	0.25496204421832536	1.9182636
2521	Heatr6	0.2550616583570967	1.9180249
25409	Becn1	0.25524538074289765	-1.9176431
2522	Dpyd	0.25569733874681766	1.916736
2523	Ncam2	0.25569733874681766	1.916736
2524	Anxa5	0.25630299254889743	1.9156382
2525	Evx1	0.2566281598632553	1.9150176
2526	Acly	0.25698184193748447	1.9143493
2527	Igdcc4	0.25773119055707383	1.9130127
2528	Arnt2	0.25851064520517697	1.9116285
25408	Alg6	0.2588947802871828	-1.9109124
25407	Bcat2	0.2589105123500091	-1.9108169
2529	Lmo1	0.26034738485053815	1.9083347
2530	Sim1	0.2605056352099494	1.9080006
2531	Usp45	0.261120532402872	1.9069027
25406	6720427I07Rik	0.26119345724156534	-1.9067118
2533	Ube2o	0.2612822196066436	1.9064254
2532	Vps51	0.2612822196066436	1.9064732
2534	Gm45767	0.2616569034784791	1.9057094
2535	Mtf1	0.2616569034784791	1.9056616
2536	Pcbp3	0.2625606627765024	1.9040864
25405	Clk4	0.26289220907402616	-1.9034659
25404	Haspin	0.26371307574279235	-1.9020338
25403	C330021F23Rik	0.26380247565348036	-1.9017951
25402	Timm22	0.26380247565348036	-1.9017473
25401	Napa	0.26505892380400636	-1.8995993
2537	Zbtb6	0.2653930078175344	1.8989788
2538	Gm43279	0.2655986145588546	1.8985492
2539	Pafah1b3	0.2655986145588546	1.8985014
25400	Naa16	0.26578836232942304	-1.8981196
25399	P3h1	0.26593625253317843	-1.8977854
25398	B9d2	0.26593625253317843	-1.8977376
2540	Tab3	0.2660392135690636	1.897499
25397	Ankle1	0.26617120687825935	-1.8972126
25396	Eif5a2	0.2673493749663706	-1.8952078
2541	Maneal	0.2684441902377562	1.8933461
2542	Cul7	0.26854790147484375	1.8931074
25395	Scfd1	0.2690024966403397	-1.892296
2543	Slc36a1	0.26916490694877	1.8919618
25394	Slc19a2	0.2697669108534335	-1.8909116
25392	Rhebl1	0.27026867998089776	-1.889957
25393	Spop	0.27026867998089776	-1.889957
25391	Crocc	0.27051984322404177	-1.8894796
25390	Edem1	0.27118316887080574	-1.8883339
25387	Alkbh4	0.27123174846995135	-1.8880476
25388	Tnk2	0.27123174846995135	-1.8880476
25389	Smox	0.27123174846995135	-1.8880953
2544	Mical3	0.27130685432179485	1.8878566
25386	Hars2	0.27158826016417537	-1.8873315
2545	Skor1	0.27204696225818803	1.88652
2546	Gm5113	0.27224036377724425	1.8861382
25384	Rnaseh1	0.2726866370419173	-1.8852789
25385	Tmem222	0.2726866370419173	-1.8853266
25383	Inafm1	0.27273248112496706	-1.8851358
25382	Cwc27	0.2732682540613385	-1.884181
2547	Nfam1	0.2732682540613385	1.8841333
25381	Brpf3	0.27374552940852037	-1.8832264
