,QC,enrichment,coverage
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_41,good,87.4874874874875,33.798
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_120,good,87.07259953161594,27.38
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_150,good,88.46153846153845,28.71
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_269,good,87.36654804270464,29.62
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_149,good,86.9413407821229,27.964
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_241,good,84.40111420612813,27.878
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_204,good,90.2173913043478,29.686
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_128,good,83.80439659039929,29.7
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_156,good,86.70076726342711,24.842
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_341,good,73.79458388375163,27.338
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_147,good,88.68466398621482,28.158
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_312,good,89.647577092511,27.546
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_375,good,84.7191011235955,34.244
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_125,good,88.2869692532943,26.104
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_206,good,88.74538745387454,34.034
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_268,good,88.46153846153848,27.18
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_348,good,84.07707910750507,27.798
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_279,bad,58.1815644407229,28.788000000000004
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_148,good,78.6067892503536,33.968
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_333,good,82.3529411764706,24.764
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_91,good,89.85507246376811,28.616000000000003
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_151,good,88.3460152182619,27.716
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_135,good,88.98163606010017,30.562
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_197,good,86.15560640732267,31.598
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_119,good,89.7597977243995,27.726
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_2,good,88.54435831180018,35.726
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_196,good,90.19189765458422,27.500000000000004
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_265,good,83.48134991119007,29.4
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_82,good,79.1437549096622,31.676
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_131,good,86.42297650130547,26.27
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_77,good,95.48872180451129,28.672
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_130,good,79.35267857142857,23.362
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_111,good,80.6049822064057,22.766
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_286,good,88.65546218487395,31.47
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_39,good,86.23822341857336,31.648
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_371,good,85.078125,30.202
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_36,good,77.85888077858881,30.662
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_381,good,87.58553274682308,30.106
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_138,good,88.76404494382022,29.238
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_283,good,87.61194029850748,27.246
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_17,good,80.76778321415131,23.406
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_325,good,81.29973474801061,29.374
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_65,good,83.85416666666667,22.724
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_15,good,88.83928571428571,31.016
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_365,good,79.10000000000001,31.244
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_203,good,84.94117647058823,29.752
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_16,good,84.7846889952153,29.534
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_373,good,79.52840300107182,25.488
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_50,good,81.3292744799594,30.664
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_193,good,89.23745173745174,27.934
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_223,good,86.20910840282234,31.566
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_378,good,89.24731182795699,33.134
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_330,good,81.64435946462716,23.452
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_132,good,89.0995260663507,27.886
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_363,good,85.29411764705883,29.792
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_194,good,84.1518634622083,23.564
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_104,good,82.37082066869301,26.512
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_343,good,85.58994197292068,27.362
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_179,good,83.57467935457178,22.048
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_243,bad,54.46945337620579,31.01
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_190,good,89.5631067961165,28.672
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_248,bad,55.63106796116506,29.96
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_338,good,98.60724233983288,30.95
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_210,good,83.94904458598728,27.49
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_70,good,89.433237271854,26.538
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_54,good,87.7994011976048,23.038
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_90,good,85.19924098671726,24.342
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_57,good,80.52459016393443,25.032
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_192,good,82.56611165523995,28.288000000000004
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_142,bad,59.26517571884984,27.422
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_358,good,72.54437869822485,30.47
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_364,good,83.29764453961455,25.208
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_103,good,92.4757281553398,28.078
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_217,good,85.30440867739678,28.688
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_182,good,86.99743370402051,33.452
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_384,good,76.28945342571208,25.888
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_278,good,88.84254431699686,24.964
PZ-MB-TChIC-Gastd5-rep2-H3K4me3-1_227,good,83.27219369038883,28.594
