,QC,enrichment,coverage
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_341,good,78.80826118631721,38.54
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_310,good,70.38934940969605,34.977999999999994
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_302,good,82.26168056676532,47.16
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_56,bad,60.87529659899816,40.972
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_322,bad,57.85044449262791,38.868
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_5,good,71.34968994338095,40.068
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_184,good,66.12820512820512,42.924
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_186,good,82.22324865280983,43.434
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_44,good,69.95773031380342,40.296
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_383,bad,64.09736308316431,46.262
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_74,good,85.27588813303099,38.596
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_375,good,73.47964633544277,40.562
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_372,good,81.029263370333,47.906
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_228,bad,58.343895903861885,40.426
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_345,good,65.1062354202131,46.128
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_300,bad,54.95381130011913,43.698
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_64,good,78.64923747276688,40.71
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_166,bad,62.05305188811751,44.856
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_350,bad,52.28426395939088,36.198
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_312,good,84.63529411764706,42.032
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_205,good,82.36029077691957,50.042
