index,pseudotime,pseudotime2
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_194,17.072784,13.090777
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_243,33.3056,18.221903
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_36,46.192875,38.40513
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_336,30.446571,13.817245
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_321,31.383139,15.393238
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_358,27.704945,11.045038
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_118,32.38479,17.27609
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_227,30.010822,13.561162
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_330,29.322792,13.024796
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_315,38.081444,26.251007
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_365,32.565613,17.114733
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_192,31.406704,15.416005
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_104,33.87867,19.14303
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_177,33.2224,18.344215
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_314,33.00731,17.890089
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_363,30.260319,13.682315
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_179,29.866621,13.292856
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_39,32.18064,16.822308
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_171,30.23251,13.939294
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_210,34.540348,19.983257
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_305,29.808327,13.378612
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_356,14.183086,15.432304
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_19,29.84627,13.52178
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_308,25.692522,9.7795725
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_216,34.568195,20.053986
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_188,20.787018,10.874484
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_40,39.653633,28.070307
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_208,33.227676,18.359468
PZ-MB-TChIC-Gastd5-rep2-H3K27me3-1_251,24.867622,9.837315
